year,variable,label,group,category,value,unit,status,note,denominator,record_id,workbook,sheet,cell,source_number_format,source_value,temporal_gate
2019-20,ai,Artificial intelligence,Industry,Administrative and Support Services,2.8,%,published,,"Businesses in the selected category and population. Coverage includes Agriculture, Forestry and Fishing.",2019-20:3-7:8,data_2019-20/81670DO003_201920.xlsx,Table_7,J28,"#,##0.0",2.8,D
2019-20,ai,Artificial intelligence,Industry,Health Care and Social Assistance,2.5,%,published,,"Businesses in the selected category and population. Coverage includes Agriculture, Forestry and Fishing.",2019-20:3-7:8,data_2019-20/81670DO003_201920.xlsx,Table_7,J29,"#,##0.0",2.5,D
2019-20,ai,Artificial intelligence,Industry,Arts and Recreation Services,0.6,%,published,,"Businesses in the selected category and population. Coverage includes Agriculture, Forestry and Fishing.",2019-20:3-7:8,data_2019-20/81670DO003_201920.xlsx,Table_7,J30,"#,##0.0",0.6,D
2019-20,ai,Artificial intelligence,Industry,Other Services,1,%,published,,"Businesses in the selected category and population. Coverage includes Agriculture, Forestry and Fishing.",2019-20:3-7:8,data_2019-20/81670DO003_201920.xlsx,Table_7,J31,"#,##0.0",1,D
2021-22,ai,Artificial intelligence,Overall,Total,1.4,%,published,,"Proportions are of all businesses in each output category. Businesses could select more than one ICT. Coverage includes Agriculture, Forestry and Fishing.",2021-22:7-1:11,data_2021-22/81670DO007_202122.xlsx,Table_1,M8,0.0,1.4,C
2021-22,ai,Artificial intelligence,Employment size,0–4 persons,1.1,%,published,,"Proportions are of all businesses in each output category. Businesses could select more than one ICT. Coverage includes Agriculture, Forestry and Fishing.",2021-22:7-1:11,data_2021-22/81670DO007_202122.xlsx,Table_1,M10,0.0,1.1,C
2021-22,ai,Artificial intelligence,Employment size,5–19 persons,1.4,%,published,,"Proportions are of all businesses in each output category. Businesses could select more than one ICT. Coverage includes Agriculture, Forestry and Fishing.",2021-22:7-1:11,data_2021-22/81670DO007_202122.xlsx,Table_1,M11,0.0,1.4,C
2021-22,ai,Artificial intelligence,Employment size,20–199 persons,3.3,%,published,,"Proportions are of all businesses in each output category. Businesses could select more than one ICT. Coverage includes Agriculture, Forestry and Fishing.",2021-22:7-1:11,data_2021-22/81670DO007_202122.xlsx,Table_1,M12,0.0,3.3,C
2021-22,ai,Artificial intelligence,Employment size,200 or more persons,9.5,%,published,,"Proportions are of all businesses in each output category. Businesses could select more than one ICT. Coverage includes Agriculture, Forestry and Fishing.",2021-22:7-1:11,data_2021-22/81670DO007_202122.xlsx,Table_1,M13,0.0,9.5,C
2021-22,ai,Artificial intelligence,Industry,"Agriculture, Forestry and Fishing",0,%,rounded-zero,nil or rounded to zero (including null cells),"Proportions are of all businesses in each output category. Businesses could select more than one ICT. Coverage includes Agriculture, Forestry and Fishing.",2021-22:7-1:11,data_2021-22/81670DO007_202122.xlsx,Table_1,M15,0.0,0,C
2021-22,ai,Artificial intelligence,Industry,Mining,1.6,%,published,,"Proportions are of all businesses in each output category. Businesses could select more than one ICT. Coverage includes Agriculture, Forestry and Fishing.",2021-22:7-1:11,data_2021-22/81670DO007_202122.xlsx,Table_1,M16,0.0,1.6,C
2021-22,ai,Artificial intelligence,Industry,Manufacturing,1.5,%,published,,"Proportions are of all businesses in each output category. Businesses could select more than one ICT. Coverage includes Agriculture, Forestry and Fishing.",2021-22:7-1:11,data_2021-22/81670DO007_202122.xlsx,Table_1,M17,0.0,1.5,C
2021-22,ai,Artificial intelligence,Industry,"Electricity, Gas, Water and Waste Services",1.9,%,published,,"Proportions are of all businesses in each output category. Businesses could select more than one ICT. Coverage includes Agriculture, Forestry and Fishing.",2021-22:7-1:11,data_2021-22/81670DO007_202122.xlsx,Table_1,M18,0.0,1.9,C
2021-22,ai,Artificial intelligence,Industry,Construction,0.4,%,published,,"Proportions are of all businesses in each output category. Businesses could select more than one ICT. Coverage includes Agriculture, Forestry and Fishing.",2021-22:7-1:11,data_2021-22/81670DO007_202122.xlsx,Table_1,M19,0.0,0.4,C
2021-22,ai,Artificial intelligence,Industry,Wholesale Trade,2.3,%,published,,"Proportions are of all businesses in each output category. Businesses could select more than one ICT. Coverage includes Agriculture, Forestry and Fishing.",2021-22:7-1:11,data_2021-22/81670DO007_202122.xlsx,Table_1,M20,0.0,2.3,C
2021-22,ai,Artificial intelligence,Industry,Retail Trade,1.1,%,published,,"Proportions are of all businesses in each output category. Businesses could select more than one ICT. Coverage includes Agriculture, Forestry and Fishing.",2021-22:7-1:11,data_2021-22/81670DO007_202122.xlsx,Table_1,M21,0.0,1.1,C
2021-22,ai,Artificial intelligence,Industry,Accommodation and Food Services,1,%,published,,"Proportions are of all businesses in each output category. Businesses could select more than one ICT. Coverage includes Agriculture, Forestry and Fishing.",2021-22:7-1:11,data_2021-22/81670DO007_202122.xlsx,Table_1,M22,0.0,1,C
2021-22,ai,Artificial intelligence,Industry,"Transport, Postal and Warehousing",0.1,%,published,,"Proportions are of all businesses in each output category. Businesses could select more than one ICT. Coverage includes Agriculture, Forestry and Fishing.",2021-22:7-1:11,data_2021-22/81670DO007_202122.xlsx,Table_1,M23,0.0,0.1,C
2021-22,ai,Artificial intelligence,Industry,Information Media and Telecommunications,7.7,%,published,,"Proportions are of all businesses in each output category. Businesses could select more than one ICT. Coverage includes Agriculture, Forestry and Fishing.",2021-22:7-1:11,data_2021-22/81670DO007_202122.xlsx,Table_1,M24,0.0,7.7,C
2021-22,ai,Artificial intelligence,Industry,Financial and Insurance Services,0.7,%,published,,"Proportions are of all businesses in each output category. Businesses could select more than one ICT. Coverage includes Agriculture, Forestry and Fishing.",2021-22:7-1:11,data_2021-22/81670DO007_202122.xlsx,Table_1,M25,0.0,0.7,C
2021-22,ai,Artificial intelligence,Industry,"Rental, Hiring and Real Estate Services",2.5,%,published,,"Proportions are of all businesses in each output category. Businesses could select more than one ICT. Coverage includes Agriculture, Forestry and Fishing.",2021-22:7-1:11,data_2021-22/81670DO007_202122.xlsx,Table_1,M26,0.0,2.5,C
2021-22,ai,Artificial intelligence,Industry,"Professional, Scientific and Technical Services",3.6,%,published,,"Proportions are of all businesses in each output category. Businesses could select more than one ICT. Coverage includes Agriculture, Forestry and Fishing.",2021-22:7-1:11,data_2021-22/81670DO007_202122.xlsx,Table_1,M27,0.0,3.6,C
2021-22,ai,Artificial intelligence,Industry,Administrative and Support Services,0.8,%,published,,"Proportions are of all businesses in each output category. Businesses could select more than one ICT. Coverage includes Agriculture, Forestry and Fishing.",2021-22:7-1:11,data_2021-22/81670DO007_202122.xlsx,Table_1,M28,0.0,0.8,C
2021-22,ai,Artificial intelligence,Industry,Health Care and Social Assistance,0.2,%,published,,"Proportions are of all businesses in each output category. Businesses could select more than one ICT. Coverage includes Agriculture, Forestry and Fishing.",2021-22:7-1:11,data_2021-22/81670DO007_202122.xlsx,Table_1,M29,0.0,0.2,C
2021-22,ai,Artificial intelligence,Industry,Arts and Recreation Services,1.2,%,published,,"Proportions are of all businesses in each output category. Businesses could select more than one ICT. Coverage includes Agriculture, Forestry and Fishing.",2021-22:7-1:11,data_2021-22/81670DO007_202122.xlsx,Table_1,M30,0.0,1.2,C
2021-22,ai,Artificial intelligence,Industry,Other Services,0.7,%,published,,"Proportions are of all businesses in each output category. Businesses could select more than one ICT. Coverage includes Agriculture, Forestry and Fishing.",2021-22:7-1:11,data_2021-22/81670DO007_202122.xlsx,Table_1,M31,0.0,0.7,C
2021-22,ai,Artificial intelligence,Location,Any capital city location only,1.3,%,published,,"Proportions are of all businesses in each output category. Businesses could select more than one ICT. Coverage includes Agriculture, Forestry and Fishing.",2021-22:7-1:11,data_2021-22/81670DO007_202122.xlsx,Table_1,M33,0.0,1.3,C
2021-22,ai,Artificial intelligence,Location,State or territory capital city CBD only,0.5,%,published,,"Proportions are of all businesses in each output category. Businesses could select more than one ICT. Coverage includes Agriculture, Forestry and Fishing.",2021-22:7-1:11,data_2021-22/81670DO007_202122.xlsx,Table_1,M34,0.0,0.5,C
2021-22,ai,Artificial intelligence,Location,Capital city metropolitan area outside of CBD only,1.7,%,published,,"Proportions are of all businesses in each output category. Businesses could select more than one ICT. Coverage includes Agriculture, Forestry and Fishing.",2021-22:7-1:11,data_2021-22/81670DO007_202122.xlsx,Table_1,M35,0.0,1.7,C
2021-22,ai,Artificial intelligence,Location,Regional (i.e. any location in Australia outside of a capital city) only,1.3,%,published,,"Proportions are of all businesses in each output category. Businesses could select more than one ICT. Coverage includes Agriculture, Forestry and Fishing.",2021-22:7-1:11,data_2021-22/81670DO007_202122.xlsx,Table_1,M36,0.0,1.3,C
2021-22,ai,Artificial intelligence,Location,Other location combinations,3.7,%,published,,"Proportions are of all businesses in each output category. Businesses could select more than one ICT. Coverage includes Agriculture, Forestry and Fishing.",2021-22:7-1:11,data_2021-22/81670DO007_202122.xlsx,Table_1,M37,0.0,3.7,C
2024-25,ai,Artificial intelligence,Overall,Total,12.1,%,published,,"Proportions are of all businesses in each output category. Businesses could select more than one option. Coverage includes Agriculture, Forestry and Fishing.",2024-25:6-2:10,data_2024-25/BCSDC06_2024–25.xlsx,Table 2,L7,0.0,12.1,C
2024-25,ai,Artificial intelligence,Employment size,0–4 persons,10.7,%,published,,"Proportions are of all businesses in each output category. Businesses could select more than one option. Coverage includes Agriculture, Forestry and Fishing.",2024-25:6-2:10,data_2024-25/BCSDC06_2024–25.xlsx,Table 2,L9,0.0,10.7,C
2024-25,ai,Artificial intelligence,Employment size,5–19 persons,12.3,%,published,,"Proportions are of all businesses in each output category. Businesses could select more than one option. Coverage includes Agriculture, Forestry and Fishing.",2024-25:6-2:10,data_2024-25/BCSDC06_2024–25.xlsx,Table 2,L10,0.0,12.3,C
2024-25,ai,Artificial intelligence,Employment size,20–199 persons,22.3,%,published,,"Proportions are of all businesses in each output category. Businesses could select more than one option. Coverage includes Agriculture, Forestry and Fishing.",2024-25:6-2:10,data_2024-25/BCSDC06_2024–25.xlsx,Table 2,L11,0.0,22.3,C
2024-25,ai,Artificial intelligence,Employment size,200 or more persons,34.7,%,published,,"Proportions are of all businesses in each output category. Businesses could select more than one option. Coverage includes Agriculture, Forestry and Fishing.",2024-25:6-2:10,data_2024-25/BCSDC06_2024–25.xlsx,Table 2,L12,0.0,34.7,C
2024-25,ai,Artificial intelligence,Industry,"Agriculture, Forestry and Fishing",2.8,%,published,,"Proportions are of all businesses in each output category. Businesses could select more than one option. Coverage includes Agriculture, Forestry and Fishing.",2024-25:6-2:10,data_2024-25/BCSDC06_2024–25.xlsx,Table 2,L14,0.0,2.8,C
2024-25,ai,Artificial intelligence,Industry,Mining,17.8,%,published,,"Proportions are of all businesses in each output category. Businesses could select more than one option. Coverage includes Agriculture, Forestry and Fishing.",2024-25:6-2:10,data_2024-25/BCSDC06_2024–25.xlsx,Table 2,L15,0.0,17.8,C
2024-25,ai,Artificial intelligence,Industry,Manufacturing,9.3,%,published,,"Proportions are of all businesses in each output category. Businesses could select more than one option. Coverage includes Agriculture, Forestry and Fishing.",2024-25:6-2:10,data_2024-25/BCSDC06_2024–25.xlsx,Table 2,L16,0.0,9.3,C
2024-25,ai,Artificial intelligence,Industry,"Electricity, Gas, Water and Waste Services",15.4,%,published,,"Proportions are of all businesses in each output category. Businesses could select more than one option. Coverage includes Agriculture, Forestry and Fishing.",2024-25:6-2:10,data_2024-25/BCSDC06_2024–25.xlsx,Table 2,L17,0.0,15.4,C
2024-25,ai,Artificial intelligence,Industry,Construction,6.4,%,published,,"Proportions are of all businesses in each output category. Businesses could select more than one option. Coverage includes Agriculture, Forestry and Fishing.",2024-25:6-2:10,data_2024-25/BCSDC06_2024–25.xlsx,Table 2,L18,0.0,6.4,C
2024-25,ai,Artificial intelligence,Industry,Wholesale Trade,13.9,%,published,,"Proportions are of all businesses in each output category. Businesses could select more than one option. Coverage includes Agriculture, Forestry and Fishing.",2024-25:6-2:10,data_2024-25/BCSDC06_2024–25.xlsx,Table 2,L19,0.0,13.9,C
2024-25,ai,Artificial intelligence,Industry,Retail Trade,9.2,%,published,,"Proportions are of all businesses in each output category. Businesses could select more than one option. Coverage includes Agriculture, Forestry and Fishing.",2024-25:6-2:10,data_2024-25/BCSDC06_2024–25.xlsx,Table 2,L20,0.0,9.2,C
2024-25,ai,Artificial intelligence,Industry,Accommodation and Food Services,5.2,%,published,,"Proportions are of all businesses in each output category. Businesses could select more than one option. Coverage includes Agriculture, Forestry and Fishing.",2024-25:6-2:10,data_2024-25/BCSDC06_2024–25.xlsx,Table 2,L21,0.0,5.2,C
2024-25,ai,Artificial intelligence,Industry,"Transport, Postal and Warehousing",1,%,published,,"Proportions are of all businesses in each output category. Businesses could select more than one option. Coverage includes Agriculture, Forestry and Fishing.",2024-25:6-2:10,data_2024-25/BCSDC06_2024–25.xlsx,Table 2,L22,0.0,1,C
2024-25,ai,Artificial intelligence,Industry,Information Media and Telecommunications,38.1,%,published,,"Proportions are of all businesses in each output category. Businesses could select more than one option. Coverage includes Agriculture, Forestry and Fishing.",2024-25:6-2:10,data_2024-25/BCSDC06_2024–25.xlsx,Table 2,L23,0.0,38.1,C
2024-25,ai,Artificial intelligence,Industry,Financial and Insurance Services,24.1,%,published,,"Proportions are of all businesses in each output category. Businesses could select more than one option. Coverage includes Agriculture, Forestry and Fishing.",2024-25:6-2:10,data_2024-25/BCSDC06_2024–25.xlsx,Table 2,L24,0.0,24.1,C
2024-25,ai,Artificial intelligence,Industry,"Rental, Hiring and Real Estate Services",11,%,published,,"Proportions are of all businesses in each output category. Businesses could select more than one option. Coverage includes Agriculture, Forestry and Fishing.",2024-25:6-2:10,data_2024-25/BCSDC06_2024–25.xlsx,Table 2,L25,0.0,11,C
2024-25,ai,Artificial intelligence,Industry,"Professional, Scientific and Technical Services",24.1,%,published,,"Proportions are of all businesses in each output category. Businesses could select more than one option. Coverage includes Agriculture, Forestry and Fishing.",2024-25:6-2:10,data_2024-25/BCSDC06_2024–25.xlsx,Table 2,L26,0.0,24.1,C
2024-25,ai,Artificial intelligence,Industry,Administrative and Support Services,12.4,%,published,,"Proportions are of all businesses in each output category. Businesses could select more than one option. Coverage includes Agriculture, Forestry and Fishing.",2024-25:6-2:10,data_2024-25/BCSDC06_2024–25.xlsx,Table 2,L27,0.0,12.4,C
2024-25,ai,Artificial intelligence,Industry,Health Care and Social Assistance,17.4,%,published,,"Proportions are of all businesses in each output category. Businesses could select more than one option. Coverage includes Agriculture, Forestry and Fishing.",2024-25:6-2:10,data_2024-25/BCSDC06_2024–25.xlsx,Table 2,L28,0.0,17.4,C
2024-25,ai,Artificial intelligence,Industry,Arts and Recreation Services,16.5,%,published,,"Proportions are of all businesses in each output category. Businesses could select more than one option. Coverage includes Agriculture, Forestry and Fishing.",2024-25:6-2:10,data_2024-25/BCSDC06_2024–25.xlsx,Table 2,L29,0.0,16.5,C
2024-25,ai,Artificial intelligence,Industry,Other Services,8.6,%,published,,"Proportions are of all businesses in each output category. Businesses could select more than one option. Coverage includes Agriculture, Forestry and Fishing.",2024-25:6-2:10,data_2024-25/BCSDC06_2024–25.xlsx,Table 2,L30,0.0,8.6,C
2024-25,ai,Artificial intelligence,State/Territory,New South Wales,12.7,%,published,,"Proportions are of all businesses in each output category. Businesses could select more than one option. Coverage includes Agriculture, Forestry and Fishing.",2024-25:6-2:10,data_2024-25/BCSDC06_2024–25.xlsx,Table 2,L32,0.0,12.7,C
2024-25,ai,Artificial intelligence,State/Territory,Victoria,13.1,%,published,,"Proportions are of all businesses in each output category. Businesses could select more than one option. Coverage includes Agriculture, Forestry and Fishing.",2024-25:6-2:10,data_2024-25/BCSDC06_2024–25.xlsx,Table 2,L33,0.0,13.1,C
2024-25,ai,Artificial intelligence,State/Territory,Queensland,11.6,%,published,,"Proportions are of all businesses in each output category. Businesses could select more than one option. Coverage includes Agriculture, Forestry and Fishing.",2024-25:6-2:10,data_2024-25/BCSDC06_2024–25.xlsx,Table 2,L34,0.0,11.6,C
2024-25,ai,Artificial intelligence,State/Territory,South Australia,8.4,%,published,,"Proportions are of all businesses in each output category. Businesses could select more than one option. Coverage includes Agriculture, Forestry and Fishing.",2024-25:6-2:10,data_2024-25/BCSDC06_2024–25.xlsx,Table 2,L35,0.0,8.4,C
2024-25,ai,Artificial intelligence,State/Territory,Western Australia,9.8,%,published,,"Proportions are of all businesses in each output category. Businesses could select more than one option. Coverage includes Agriculture, Forestry and Fishing.",2024-25:6-2:10,data_2024-25/BCSDC06_2024–25.xlsx,Table 2,L36,0.0,9.8,C
2024-25,ai,Artificial intelligence,State/Territory,Tasmania,17.2,%,published,,"Proportions are of all businesses in each output category. Businesses could select more than one option. Coverage includes Agriculture, Forestry and Fishing.",2024-25:6-2:10,data_2024-25/BCSDC06_2024–25.xlsx,Table 2,L37,0.0,17.2,C
2024-25,ai,Artificial intelligence,State/Territory,Northern Territory,17.8,%,caution,estimate has a relative standard error and should be used with caution,"Proportions are of all businesses in each output category. Businesses could select more than one option. Coverage includes Agriculture, Forestry and Fishing.",2024-25:6-2:10,data_2024-25/BCSDC06_2024–25.xlsx,Table 2,L38,\^0.0,17.8,C
2024-25,ai,Artificial intelligence,State/Territory,Australian Capital Territory,8.6,%,published,,"Proportions are of all businesses in each output category. Businesses could select more than one option. Coverage includes Agriculture, Forestry and Fishing.",2024-25:6-2:10,data_2024-25/BCSDC06_2024–25.xlsx,Table 2,L39,0.0,8.6,C
2024-25,ai,Artificial intelligence,Location,Any capital city location only,12.8,%,published,,"Proportions are of all businesses in each output category. Businesses could select more than one option. Coverage includes Agriculture, Forestry and Fishing.",2024-25:6-2:10,data_2024-25/BCSDC06_2024–25.xlsx,Table 2,L41,0.0,12.8,C
2024-25,ai,Artificial intelligence,Location,State or territory capital city CBD only,13.7,%,published,,"Proportions are of all businesses in each output category. Businesses could select more than one option. Coverage includes Agriculture, Forestry and Fishing.",2024-25:6-2:10,data_2024-25/BCSDC06_2024–25.xlsx,Table 2,L42,0.0,13.7,C
2024-25,ai,Artificial intelligence,Location,Capital city metropolitan area outside of CBD only,12.1,%,published,,"Proportions are of all businesses in each output category. Businesses could select more than one option. Coverage includes Agriculture, Forestry and Fishing.",2024-25:6-2:10,data_2024-25/BCSDC06_2024–25.xlsx,Table 2,L43,0.0,12.1,C
2024-25,ai,Artificial intelligence,Location,Regional only,10.8,%,published,,"Proportions are of all businesses in each output category. Businesses could select more than one option. Coverage includes Agriculture, Forestry and Fishing.",2024-25:6-2:10,data_2024-25/BCSDC06_2024–25.xlsx,Table 2,L44,0.0,10.8,C
2024-25,ai,Artificial intelligence,Location,Other location combinations,14.5,%,published,,"Proportions are of all businesses in each output category. Businesses could select more than one option. Coverage includes Agriculture, Forestry and Fishing.",2024-25:6-2:10,data_2024-25/BCSDC06_2024–25.xlsx,Table 2,L45,0.0,14.5,C
2024-25,cloud,Cloud technology,Overall,Total,72.8,%,published,,"Proportions are of all businesses in each output category. Businesses could select more than one option. Coverage includes Agriculture, Forestry and Fishing.",2024-25:6-2:0,data_2024-25/BCSDC06_2024–25.xlsx,Table 2,B7,0.0,72.8,C
2024-25,cloud,Cloud technology,Employment size,0–4 persons,68.5,%,published,,"Proportions are of all businesses in each output category. Businesses could select more than one option. Coverage includes Agriculture, Forestry and Fishing.",2024-25:6-2:0,data_2024-25/BCSDC06_2024–25.xlsx,Table 2,B9,0.0,68.5,C
2024-25,cloud,Cloud technology,Employment size,5–19 persons,77.7,%,published,,"Proportions are of all businesses in each output category. Businesses could select more than one option. Coverage includes Agriculture, Forestry and Fishing.",2024-25:6-2:0,data_2024-25/BCSDC06_2024–25.xlsx,Table 2,B10,0.0,77.7,C
2024-25,cloud,Cloud technology,Employment size,20–199 persons,90.3,%,published,,"Proportions are of all businesses in each output category. Businesses could select more than one option. Coverage includes Agriculture, Forestry and Fishing.",2024-25:6-2:0,data_2024-25/BCSDC06_2024–25.xlsx,Table 2,B11,0.0,90.3,C
2024-25,cloud,Cloud technology,Employment size,200 or more persons,92.7,%,published,,"Proportions are of all businesses in each output category. Businesses could select more than one option. Coverage includes Agriculture, Forestry and Fishing.",2024-25:6-2:0,data_2024-25/BCSDC06_2024–25.xlsx,Table 2,B12,0.0,92.7,C
2024-25,cloud,Cloud technology,Industry,"Agriculture, Forestry and Fishing",69.7,%,published,,"Proportions are of all businesses in each output category. Businesses could select more than one option. Coverage includes Agriculture, Forestry and Fishing.",2024-25:6-2:0,data_2024-25/BCSDC06_2024–25.xlsx,Table 2,B14,0.0,69.7,C
2024-25,cloud,Cloud technology,Industry,Mining,83.8,%,published,,"Proportions are of all businesses in each output category. Businesses could select more than one option. Coverage includes Agriculture, Forestry and Fishing.",2024-25:6-2:0,data_2024-25/BCSDC06_2024–25.xlsx,Table 2,B15,0.0,83.8,C
2024-25,cloud,Cloud technology,Industry,Manufacturing,73.7,%,published,,"Proportions are of all businesses in each output category. Businesses could select more than one option. Coverage includes Agriculture, Forestry and Fishing.",2024-25:6-2:0,data_2024-25/BCSDC06_2024–25.xlsx,Table 2,B16,0.0,73.7,C
2024-25,cloud,Cloud technology,Industry,"Electricity, Gas, Water and Waste Services",67.9,%,published,,"Proportions are of all businesses in each output category. Businesses could select more than one option. Coverage includes Agriculture, Forestry and Fishing.",2024-25:6-2:0,data_2024-25/BCSDC06_2024–25.xlsx,Table 2,B17,0.0,67.9,C
2024-25,cloud,Cloud technology,Industry,Construction,73.8,%,published,,"Proportions are of all businesses in each output category. Businesses could select more than one option. Coverage includes Agriculture, Forestry and Fishing.",2024-25:6-2:0,data_2024-25/BCSDC06_2024–25.xlsx,Table 2,B18,0.0,73.8,C
2024-25,cloud,Cloud technology,Industry,Wholesale Trade,77.6,%,published,,"Proportions are of all businesses in each output category. Businesses could select more than one option. Coverage includes Agriculture, Forestry and Fishing.",2024-25:6-2:0,data_2024-25/BCSDC06_2024–25.xlsx,Table 2,B19,0.0,77.6,C
2024-25,cloud,Cloud technology,Industry,Retail Trade,67.3,%,published,,"Proportions are of all businesses in each output category. Businesses could select more than one option. Coverage includes Agriculture, Forestry and Fishing.",2024-25:6-2:0,data_2024-25/BCSDC06_2024–25.xlsx,Table 2,B20,0.0,67.3,C
2024-25,cloud,Cloud technology,Industry,Accommodation and Food Services,60.7,%,published,,"Proportions are of all businesses in each output category. Businesses could select more than one option. Coverage includes Agriculture, Forestry and Fishing.",2024-25:6-2:0,data_2024-25/BCSDC06_2024–25.xlsx,Table 2,B21,0.0,60.7,C
2024-25,cloud,Cloud technology,Industry,"Transport, Postal and Warehousing",57,%,published,,"Proportions are of all businesses in each output category. Businesses could select more than one option. Coverage includes Agriculture, Forestry and Fishing.",2024-25:6-2:0,data_2024-25/BCSDC06_2024–25.xlsx,Table 2,B22,0.0,57,C
2024-25,cloud,Cloud technology,Industry,Information Media and Telecommunications,83.8,%,published,,"Proportions are of all businesses in each output category. Businesses could select more than one option. Coverage includes Agriculture, Forestry and Fishing.",2024-25:6-2:0,data_2024-25/BCSDC06_2024–25.xlsx,Table 2,B23,0.0,83.8,C
